rxn,flux
ATPS_m,78.04858551
IDP_h,0.311401674
IDP_m,0
THD2_m,0
ATAM_c,3.191036511
GLTS_h,58.57114071
GLNA_h,16.89677659
FACOAL_181_9Z_c,0.01658677
ACS_c,0.242031339
UTAL_c,0.011824628
ASPTA_L_c,-6.32388332
ASPTA_L_h,-0.068268806
OAAAKGt_m,0
ASPTA_L_m,-1.131734678
FACOAL_160_c,0
SERDC_m,0.00550931
SAL_m,15.10052523
ALATA_L_h,-0.270928736
GLYK_c,0.000609284
MDH_m,-11.3892453
MALAKGt_m,0
MALOAAt_m,-0.402742523
ME1_m,0
PGI_c,-0.95553868
PGI_h,-0.016307714
AMPD_c,0
FACOAL_180_c,0.001144835
TDSR_c,0.001994737
FTHDF_c,1.11E-12
FTHFL_c,0
ASNS_c,0
ATPCS_c,5.921140797
AKGCITt_m,0
MALCITt_m,5.921140797
OAACITt_m,0
CISY_m,9.854768095
G3PDH_h,0.139230259
TPI_h,96.61977692
DGOTO_c,0.0004864
PGM_c,-0.294197357
PGM_h,-0.016307714
PYC_m,0
CITICITt_m,0
MAT_c,0.024309137
GHMT_m,19.14768282
PEPC_m,0
PYK_c,0
AGPOP_c,0
GTPOP_c,0
PEPC_h,0
PPDK_h,0
PYK_m,0
PEPCK_m,0
SAT_h,0
DAOTO_c,0.000510969
DAPOP_c,0
DHFR1_c,0.000510969
DHFR2_c,0
AGAT_m,0
MALS_x,6.143150862
FACOAL_182_9Z12Z_c,0.001216387
PDH_E3_h,3.595349972
PDH_E3_m,3.329326498
PYDXK_c,0
PYDXPP_c,0
RPDPK_c,0
GMPS_c,0.011313659
GMPS_GLU_c,0
IMPD_c,0.011313659
PDH_E1a_h,3.595349972
PDH_E1a_m,0
TAL_m,0
ADH_c,0
THRA_m,0
SUAT_h,0.065867149
DCDT_c,0.000997369
DOLPMT_c,0
MDUMT_c,0.000510969
ATDTM_c,0.000510969
DTMPK_c,0
CCP2_m,0
CYSS_h,0
SAHH_c,-0.024309137
GAPDH_c,0
GAPDH_h,244.1630738
PGK_h,244.1630738
GAPDH_m,0
ENO_h,-0.426627686
ENO_m,0
G6PDH_c,0
DMOR_4_h,9.296838547
DMOR_4_m,0
MG3_c,0
MG2_c,0
CBL_m,0
IDIH_h,0
PETHCT_c,0.000688664
DHFOR1_c,0
THFOR1_c,0
THFOR2_c,0
DHFOR2_c,0
GGPS_h,0.018645083
GUAD_c,0
LDH_m,0
MI3PS_c,0.000826397
DVPCHLDR_h,0.009323696
PCHLDOR_h,0.009070912
PDXPP_c,0
PYDXNK_c,0
SDH_m,-15.67977793
PYDXS_c,0
UGDH_c,0.1234111
MTMOHT_m,0
PGLYCP_h,44.5897015
IPPS_h,0.183865067
PPNCL_m,0
METS_c,-0.063547995
MTHFO1_c,0.063547995
MTHFO2_c,0
PGDH_c,0
PGDH_h,0
EAR40_h,0.424162113
OCT_m,0.11402566
UPP3DC_h,0.009847198
DVCHLDR_h,0
DVPCHLDOR_h,0
FBP_h,48.35508411
FBA_h,-48.35508411
OAT_m,15.47232306
FPPS_c,0
GPPS_c,7.34E-17
FPPS_h,0.018645083
GPPS_h,0.018645083
IDS1_h,0.05593525
IDS2_h,0.018645083
HMGL_m,-5.87E-16
FACOAL_183_6Z9Z12Z_c,0.015227279
MCOATA_h,2.983128868
MMSAD_m,8.960703677
NITR_c,3.445984719
GGDR_h,0.005255763
CHRM_c,0.189938059
FCLT_h,0
PYAMPP_c,0
PYAMK_c,0
PRK_h,144.5897015
TALA_h,0
SELCYSLY2_c,0
SELTOR_c,0
SPMS_c,0
SCS_m,-15.65657842
EAR120_h,0.424162113
EAR60_h,0.424162113
EAR160_h,0.420424583
RPE_h,-96.46423895
TKL1_h,-48.12546255
TKL2_h,48.3387764
P5CR_c,0
DAPEP_h,3.381131805
DAHPS_h,0.213313843
ACCAT_m,3.366548247
BCKDHI_m,3.366548247
BCKDHV_m,8.960703677
IMPDH_h,0.183865067
DHQS_h,0.213313843
SERPT_c,0
KARI_1_h,-3.483558049
KARI_2_h,3.483558049
MCCC_m,0
MGCH_m,0
BCKDHL_m,0
3OAS181_h,0.01658677
3OAS120_h,0.424162113
3OAS100_h,0.424162113
3OAS60_h,0.424162113
3OAS140_h,0.424162113
3OAS80_h,0.424162113
3OAS180_h,0.001144835
3OAS160_h,0.420424583
CHRS_h,0.213313843
ADCS_c,0
CMS_h,0.074580333
FUMAC_c,0
HGNTOR_c,0
ASADH_h,7.047952858
ASPK_h,7.047952858
PRAIC_c,-0.023199508
PRAIS_c,0.023199508
MTRI_c,0
MTRK_c,0
MTAN_m,0
AGK_h,42.25427983
3OAS40_h,0.424162113
PDH_E1b_h,3.595349972
PDH_E1b_m,0
PDH_E2_m,0
ARGSS_c,0.11402566
ASPCT_c,0.023199508
DHR_c,-0.023199508
NCPA_c,0
CAS_c,0
ATDAM_c,0
ADSS_c,0.04350729
GLCNACPT_c,0
TMTD_h,0
DXR_h,0.074580333
PRFGCL_c,0.023199508
PRFGS_c,0.023199508
LYCBC1_c,-0.00669466
G1SAT_h,-0.078777581
G5DH_c,0
GTHS_h,0
HDH_c,0.031621441
FACOAL_183_9Z12Z15Z_c,0
MPML_h,0.009847198
MPMT_h,-0.009847198
NOR_h,-0.00669466
CYEUOLI_c,0
OBFOLOR_c,0
CMK_h,0.074580333
PPDH_c,0.121669253
PDS1_c,0.00669466
PSY_h,0.00669466
PPBNGD_h,-0.009847198
PPBNGS_h,0.039388791
CPPPGO_h,0.009847198
PPPGO_h,0.009847198
PPRGL_c,0.023199508
IMGPS_c,0.031621441
PRICI_c,0.031621441
PSP_m,0
PSPPS_c,0
FBA3_h,48.12546255
SBP_h,48.12546255
OGDH_E2_m,3.329326498
OGDH_E1_m,3.329326498
EPSPS_h,-0.213313843
SQLS_c,0
DAPAT_h,3.381131805
DHPR_h,3.381131805
GLUTL_c,0.11837099
GLUTRR_h,0.078777581
TMTG_h,0
PDS2_h,0.00669466
ZDS_h,-0.00669466
METTF_c,0
FORA_c,0
HEMEASM_m,0
MERGTOLR_c,0
PPM_c,-0.101396241
PPM_h,0
BETALDH_c,0
SSAL2_m,0
ARGTL_c,0.11402566
CYSTL_c,0.009947142
GLYTL_m,0
HISTL_c,0.031621441
ILETL_c,0.117009802
LEUTL_c,0.183865067
LYSTL_m,0
METTL_c,0.039238858
PHETL_m,0
PROTL_c,0.174781756
THRTL_c,0.144024146
THRTL_m,0
TRPTL_c,0.023375784
TYRTL_c,0.068268806
VALTL_c,0.152269803
VALTL_h,0
NADK_h,0
GLNA_m,41.89410517
TPTPti_h,2.649393503
FUM_m,15.65657842
GLYTA_m,44.5897015
BCTAV_h,-9.11297348
PGAM_c,0
PGAM_m,0
PDX5PO_c,0
PYDXNO_c,0
PYAM5PO_c,0
PYAMOX_c,0
PMANM_c,-0.223176551
POAT_c,-0.121669253
GLYTL_c,0.270064906
NADHOR_m,67.16026958
FA160ACPH_h,0
GCS_m,-19.14768282
FA180ACPH_h,0.001144835
HGDH_m,0
THFAT_m,0
EAR181_h,0.01658677
EAR100_h,0.424162113
EAR140_h,0.424162113
EAR80_h,0.424162113
3HAD40_h,-0.424162113
3HAD181_h,0.01658677
3HAD120_h,-0.424162113
3HAD100_h,-0.424162113
3HAD60_h,-0.424162113
3HAD140_h,-0.424162113
3HAD80_h,-0.424162113
3HAD160_h,-0.420424583
ACOATA_h,0.424162113
ACCOAC_h,2.983128868
3HAD180_h,0.001144835
EAR180_h,0.001144835
THD2_c,0
GLTS_m,0
CAT_x,0
FBP_c,5.35243836
GHMT_c,-0.142079421
SAL_c,3.684108533
TPI_c,1.392657815
UMPK_c,0.023199508
RPI_h,48.12546255
FUM_c,0.180732458
PGK_c,0
MTHFC_c,-0.078020457
MTHFD_c,0.078020457
CBMK_m,0.137225168
DXPS_h,0.074580333
TALA_c,0.101396241
GGPS_c,0
UDPSQS_h,0.004896486
SO3R_h,0.049186
RPE_c,0
TKL1_c,-0.101396241
TKL2_c,0
DHAD_4_h,9.296838547
DHAD_5_h,3.483558049
DHFS_c,0
NTRIRfx_h,3.445984719
ACOAT_h,-42.25427983
PANTS_m,0
FBA_c,-1.381507713
3OAR40_h,0.424162113
3OAR100_h,0.424162113
3OAR120_h,0.424162113
3OAR140_h,0.424162113
3OAR160_h,0.420424583
3OAR180_h,0.001144835
3OAR181_h,0.01658677
3OAR60_h,0.424162113
3OAR80_h,0.424162113
AGMT_m,0
ANPRT_c,0.023375784
HOXG_c,0
CHLPAS_h,0.005255763
TRPS1_c,0.023375784
NPHS_x,0
PDH_E2_h,-3.595349972
THRD_c,3.483558049
SERTL_c,0.182137406
ASNTL_c,0.101853499
LYSTL_c,0.117402452
GACT_h,-42.25427983
DHQDH_h,0.213313843
XPK_c,0.101396241
FPK_c,0.101396241
UPP3DC_c,0
NPDPS_m,7.34E-17
CYSS_m,0
DHPS_c,0
IMPHL_1_h,0.183865067
IMPHL_2_h,0.183865067
ASL_c,0.11402566
HMBDPO_h,0.074580333
MPBQMT_h,0
TRPS2_c,0
ACN_a_m,-3.933627298
ACN_b_m,3.933627298
EX_photon_e,-2169.774228
PHOt_e,2169.774228
PHOt_h,1735.819339
PSII_u,210.0848076
CBFC_u,459.2155185
PSI_u,447.7351305
ATPS_h,563.443178
GLCt_e,0
GLCt_x,0
GLK_c,0
PFK_c,0
TPI_m,-3.50E-14
PGK_m,0
PGAM_h,0.426627686
PYK_h,0
PPTPt_x,0
TPTPt_m,-3.50E-14
PYRNAt_h,29.37585021
MPCt_m,-25.69174167
PGL_c,0
6PGTt_m,0
EDD_h,0
EDA_m,0
RUBISC_h,100
ACK_c,0.202792482
PYC_h,0
ICL_x,0
ARG_m,0
GLUDH_c,0.050284691
GLUDH2_m,-4.185183321
GLUSA_m,15.47232306
P5CDH_m,41.96547241
PRODH_m,26.49314936
ORNC_c,0.174781756
AGAS_h,0
AGPR_h,42.25427983
UREASE_m,0
GLUSA_c,0
G5K_c,0
PRO4H_c,0
SERA_m,0
PSAT_m,0
THRA_c,0
ASPK_c,0
HSDH_m,0.039238858
HSDH_h,3.627582195
HSK_h,3.627582195
THRS_c,0
THRS_h,3.627582195
DHPS_h,3.381131805
DAPDC_h,3.381131805
APSK_h,101.3624273
PAPSR_h,0.054082485
HSAT_m,0.039238858
AHSAL_c,0.039238858
CBS_c,0
CGL_c,0
SHL_c,0.009947142
ASNAL_c,0.101853499
ASNA_c,0
PRAS_c,0.031621441
PRADP_c,0.031621441
PRAMPCH_c,0.031621441
IGPDH_c,0.031621441
IAPTA_c,0.031621441
HPP_c,0.031621441
ALPL_h,9.296838547
POXAAT_h,3.483558049
BCTAI_h,3.483558049
BCTAL_h,0
DHSR_h,0.213313843
SKMK_h,0.213313843
PPHTA_h,0.068268806
ARODH_h,0.068268806
PHEH_c,0
HTHBDH_m,0
THBPOX_m,0
CHRL_h,0.023375784
PRAI_c,0.023375784
IGPS_c,0.023375784
GTPCH_c,0
PTPS_c,0
SR_c,0
BACCL_m,-5.14E-16
ACP1619ZD9DS_h,0.287618277
ACP1819ZD9DS_h,0
FA161d9ACPH_h,0
FA181d9ACPH_h,0.015224823
BACCL_c,0
ACCOAC_c,0.020021274
FACOAL_140_c,0
FACOAL_161_9Z_c,0.001144835
FACOAL_162_9Z12Z_c,0.000216837
FACOAL_163_6Z9Z12Z_c,0
G3PDH_c,0.011150103
ETHAK_c,0.00550931
ETHAt_c,0.00550931
PETHMT_c,0.004820647
PETHDMT_c,0.004820647
PETHTMT_c,0.004820647
PCHOLCT_c,0.004820647
MI3PP_c,0
MI3PP_h,0.000826397
MI3PP_m,0
G1PUT_c,0
G1PUT_h,0.016307714
UGP_PGM_c,0.660514926
FCYTOB5OXR_c,-0.033459749
FCYTOB5OXR_m,0
COA181_9Z_9DS_c,0
FACOAL205_c,0.011374768
FACOAL226_c,0.001359491
G3PAT1619Z_c,0.001144835
G3PAT1819Z_c,0
G3PAT2055Z8Z11Z14Z17Z_c,0.009326613
G3PAT2264Z7Z10Z13Z16Z19Z_c,0.000679746
AGPATCOA_HDE_MYRS_c,0
AGPATCOA_HDE_PALM_c,0
AGPATCOA_HDE_HDE_c,0
AGPATCOA_HDE_STC_c,0
AGPATCOA_HDE_OLE_c,0
AGPATCOA_HDE_EPA_c,0
AGPATCOA_HDE_DHA_c,0
AGPATCOA_OLE_MYRS_c,0
AGPATCOA_OLE_PALM_c,0
AGPATCOA_OLE_HDE_c,0
AGPATCOA_OLE_STC_c,0
AGPATCOA_OLE_OLE_c,0
AGPATCOA_OLE_EPA_c,0
AGPATCOA_OLE_DHA_c,0
AGPATCOA_EPA_MYRS_c,0
AGPATCOA_EPA_PALM_c,0
AGPATCOA_EPA_HDE_c,0
AGPATCOA_EPA_STC_c,0
AGPATCOA_EPA_OLE_c,0.004069349
AGPATCOA_EPA_EPA_c,0.000688664
AGPATCOA_EPA_DHA_c,0
AGPATCOA_DHA_MYRS_c,0
AGPATCOA_DHA_PALM_c,0
AGPATCOA_DHA_HDE_c,0
AGPATCOA_DHA_STC_c,0
AGPATCOA_DHA_OLE_c,0
AGPATCOA_DHA_EPA_c,0
AGPATCOA_DHA_DHA_c,0.000679746
PAPA_HDE_PALM_c,0
PAPA_HDE_HDE_c,0
PAPA_HDE_STC_c,0
PAPA_HDE_OLE_c,0
PAPA_HDE_EPA_c,0
PAPA_HDE_DHA_c,0
PAPA_OLE_PALM_c,0
PAPA_OLE_HDE_c,0
PAPA_OLE_STC_c,0
PAPA_OLE_OLE_c,0
PAPA_OLE_EPA_c,0
PAPA_OLE_DHA_c,0
PAPA_EPA_PALM_c,0
PAPA_EPA_HDE_c,0
PAPA_EPA_STC_c,0
PAPA_EPA_OLE_c,0.004069349
PAPA_EPA_EPA_c,0.000688664
PAPA_EPA_DHA_c,0
PAPA_DHA_PALM_c,0
PAPA_DHA_HDE_c,0
PAPA_DHA_STC_c,0
PAPA_DHA_OLE_c,0
PAPA_DHA_EPA_c,0
PAPA_DHA_DHA_c,0.000679746
CHOPT_HDE_PALM_c,0
CHOPT_HDE_HDE_c,0.000143104
CHOPT_HDE_STC_c,0
CHOPT_HDE_OLE_c,0
CHOPT_HDE_EPA_c,0
CHOPT_HDE_DHA_c,0
CHOPT_EPA_PALM_c,0
CHOPT_EPA_HDE_c,0
CHOPT_EPA_STC_c,0
CHOPT_EPA_OLE_c,0.004069349
CHOPT_EPA_EPA_c,0
CHOPT_EPA_DHA_c,0
PCD12DS_HDE_LNA_sn2_c,0.012517422
PCD12DS_EPA_LNA_sn2_c,0.004069349
PCD6DS_HDE_GLNA_sn2_c,0.01115793
PCD6DS_EPA_GLNA_sn2_c,0.004069349
PCW3DS_HDE_ALNA_sn2_c,0.000143104
PCW3DS_EPA_ALNA_sn2_c,0
PCD6DS_HDE_STA_sn2_c,0.000143104
PCD6DS_EPA_STA_sn2_c,0
PCW3DS_HDE_STA_sn2_c,0
PCW3DS_EPA_STA_sn2_c,0
FAC160t_c,0
FAC1819Zt_c,0.015224823
FAC1619Zt_c,0.000216837
FAC180t_c,0.001144835
FAC140t_c,0
FAC2055Z8Z11Z14Z17Zt_c,0
FAC1636Z9Z12Zt_c,0
FAC1646Z9Z12Z15Zt_c,0
FACOAL_184_6Z9Z12Z15Z_c,0
FACOAL_200_c,0
FACOAL_220_c,0
FACOAL_240_c,0
PLA2PC_HDE_STA_c,0
PLA2PC_EPA_STA_c,0
PLA2PC_HDE_GLNA_c,0.01115793
PLA2PC_EPA_GLNA_c,0.004069349
3OAS200_c,0.001144835
3OAR200_c,0.001144835
3HAD200_c,0.001144835
EAR200_c,0.001144835
3OAS220_c,0.001144835
3OAR220_c,0.001144835
3HAD220_c,0.001144835
EAR220_c,0.001144835
3OAS240_c,0.001144835
3OAR240_c,0.001144835
3HAD240_c,0.001144835
EAR240_c,0.001144835
ELO6ETA_c,0
ELO6DGLA_c,0.015227279
LPCAT_HDE_ETA_sn2_c,0
LPCAT_HDE_DGLA_sn2_c,0
LPCAT_EPA_ETA_sn2_c,0
LPCAT_EPA_DGLA_sn2_c,0.015227279
PCW3DS_HDE_ETA_sn2_c,0
PCW3DS_EPA_ETA_sn2_c,0
PCD5DS_HDE_ARA_sn2_c,0
PCD5DS_EPA_ARA_sn2_c,0.015227279
PCD5DS_HDE_EPA_sn2_c,0
PCD5DS_EPA_EPA_sn2_c,0
PCW3DS_HDE_EPA_sn2_c,0
PCW3DS_EPA_EPA_sn2_c,0.015227279
PLA2PC_HDE_EPA_c,0
PLA2PC_EPA_EPA_c,0.011374768
ELO5DPA_c,0.001359491
LPCAT_HDE_DPA_sn2_c,0
LPCAT_EPA_DPA_sn2_c,0.001359491
PCD4DS_HDE_DHA_sn2_c,0
PCD4DS_EPA_DHA_sn2_c,0.001359491
PLDPC_HDE_PALM_c,0
PLDPC_HDE_HDE_c,0
PLDPC_HDE_STC_c,0
PLDPC_HDE_OLE_c,0
PLDPC_HDE_EPA_c,0
PLDPC_HDE_DHA_c,0
PLDPC_EPA_PALM_c,0
PLDPC_EPA_HDE_c,0
PLDPC_EPA_STC_c,0
PLDPC_EPA_OLE_c,0
PLDPC_EPA_EPA_c,0
PLDPC_EPA_DHA_c,0
PLDPC_HDE_LNA_c,0
PLDPC_LNA_LNA_c,0
PLDPC_EPA_LNA_c,0
PLDPC_HDE_GLNA_c,0
PLDPC_EPA_GLNA_c,0
PLDPC_HDE_ALNA_c,0
PLDPC_EPA_ALNA_c,0
PLDPC_HDE_ARA_c,0
PLDPC_EPA_ARA_c,0
PAPA_HDE_LNA_c,0
PAPA_LNA_LNA_c,0.000608193
PAPA_EPA_LNA_c,0
PAPA_HDE_GLNA_c,0
PAPA_EPA_GLNA_c,0
PAPA_HDE_ALNA_c,0
PAPA_EPA_ALNA_c,0
PAPA_HDE_ARA_c,0
PAPA_EPA_ARA_c,0
CDPDAGS_HDE_PALM_c,0.000826397
DAGK_HDE_PALM_c,0.000826397
DAGK_HDE_HDE_c,0
DAGK_HDE_STC_c,0
DAGK_HDE_OLE_c,0
DAGK_HDE_EPA_c,0
DAGK_HDE_DHA_c,0
DAGK_OLE_PALM_c,0
DAGK_OLE_HDE_c,0
DAGK_OLE_STC_c,0
DAGK_OLE_OLE_c,0
DAGK_OLE_EPA_c,0
DAGK_OLE_DHA_c,0
DAGK_EPA_PALM_c,0
DAGK_EPA_HDE_c,0
DAGK_EPA_STC_c,0
DAGK_EPA_OLE_c,0
DAGK_EPA_EPA_c,0
DAGK_EPA_DHA_c,0
DAGK_DHA_PALM_c,0
DAGK_DHA_HDE_c,0
DAGK_DHA_STC_c,0
DAGK_DHA_OLE_c,0
DAGK_DHA_EPA_c,0
DAGK_DHA_DHA_c,0
DAGK_HDE_LNA_c,0
DAGK_LNA_LNA_c,0
DAGK_EPA_LNA_c,0
DAGK_HDE_GLNA_c,0
DAGK_EPA_GLNA_c,0
DAGK_HDE_ALNA_c,0
DAGK_EPA_ALNA_c,0
DAGK_HDE_ARA_c,0
DAGK_EPA_ARA_c,0
ETHAPT_EPA_EPA_c,0.000688664
CDIPT_HDE_PALM_c,0.000826397
CHOLt_m,0
CHOLK_m,0
PCHOLt_m,0
PIP4K_HDE_PALM_c,0
PIP3K_HDE_PALM_c,0
PIP3P_HDE_PALM_c,0
IPMK_c,0
IP52K_c,0
PLDPE_EPA_EPA_c,0
FACOAL_204_5Z8Z11Z14Z_c,0
PLA2PC_HDE_PALM_c,0
PLA2PC_HDE_HDE_c,0.000143104
PLA2PC_HDE_STC_c,0
PLA2PC_HDE_OLE_c,0
PLA2PC_HDE_DHA_c,0
PLA2PC_EPA_PALM_c,0
PLA2PC_EPA_HDE_c,0
PLA2PC_EPA_STC_c,0
PLA2PC_EPA_OLE_c,0
PLA2PC_EPA_DHA_c,0.001359491
PLA2PC_HDE_LNA_c,0.001216387
PLA2PC_LNA_LNA_c,0
PLA2PC_EPA_LNA_c,0
PLA2PC_HDE_ALNA_c,0
